chercheur	rôle	établissement
Courville, Aaron	Cocandidat	Université de Montréal
Coutu, Marie-France	Cocandidat	Université de Sherbrooke
Coxon, Angela	Collaborateur	Eeyou Marine Region Wildlife Board (Region 14)
Cretu, Edmond	Cocandidat	The University of British Columbia
Cristescu, Melania	Cochercheur principal	Université McGill
Crome, Sarah	Cochercheur principal	University Health Network
Crow, Susan	Cocandidat	University of Hawaii Manoa
Crowshoe, Reg	Collaborateur	Piikani First Nation (Region 19)
Croxall, Matt	Collaborateur	Lafayette Instrument Company
Crudden, Cathleen	Chercheur principal désigné	Queen's University
Cukier, Wendy	Collaborateur	Toronto Metropolitan University
Cullen, Bill	Collaborateur	ATCO Electric Yukon
Cumming, Rob	Collaborateur	Lafarge Canada Inc (East)
Cunsolo, Ashlee	Cocandidat	Memorial University of Newfoundland
Cypel, Marcelo	Cochercheur principal	University Health Network
Dagher, Alain	Cocandidat	Université McGill
DANA, Leo	Cocandidat	Dalhousie University
Dancey, Janet	Collaborateur	Queen's University
Dapporto, Leonardo	Cocandidat	Università degli Studi di Firenze
Dave, Deepika	Collaborateur	Memorial University
Davidson, Alan	Cocandidat	University of Toronto
Davidson-Hunt, Iain	Cocandidat	University of Manitoba
Davies, Jed	Collaborateur	Tissue Regeneration Therapeutics
Davis, Tane	Collaborateur	Te Runanga o Ngai Tahu (Region 34)
Day, Andrew	Collaborateur	BC Parks Foundation
De Laporte, Laura	Cochercheur principal	DWI - Leibniz Institute for Interactive Materials
Deenik, Jonathan	Collaborateur	University of Hawai`i
Dean, Terry	Collaborateur	Canadian Lung Association
Deiner, Kristy	Cocandidat	ETH Zurich
Del Buono, Nicoletta	Cocandidat	University of Bari Aldo Moro
del Sol, Antonio	Cochercheur principal	Center for Cooperative Research in Biosciences (CIC bioGUNE)
Chercheur	Rôle	Établissement
Delormier, Treena	Cocandidat	Université McGill
Dennison, Brent	Collaborateur	Insception Biosciences Inc
Diallo, Aminata	Collaborateur	Kel Tamached Nation (Region 26)
Domian, Ibrahim	Collaborateur	BlueRock Therapeutics
Diamond, Sara	Cocandidat	OCAD University
Doody, Karen	Cocandidat	Memorial University of Newfoundland
Drouin-Ouellet, Janelle	Cocandidat	Université de Montréal
Drygeese, Dennis	Collaborateur	Lutsel K'e Dene First Nation (Region 6)
Duguid, Scott	Collaborateur	Government of Alberta
Dumas, Guillaume	Cocandidat	Université de Montréal
Durcan, Thomas	Cochercheur principal	Université McGill
Ekka, Vincent	Cocandidat	Indian Social Institute
Edwards, Aled	Collaborateur	Structural Genomics Consortium
Ekrem, Torbjorn	Cocandidat	Norges Teknisk-Naturvitenskapelige Universitet
Emery, Marla	Collaborateur	United States Department of Agriculture
Enos, Kamuela	Cocandidat	University of Hawaii
Epelman, Slava	Cochercheur principal	University Health Network
Esposito, Flavia	Cocandidat	University of Bari Aldo Moro
Everling, Stefan	Cochercheur principal	Western University
Faro, Albert	Collaborateur	Cystic Fibrosis Foundation
Farquhar, Alec	Collaborateur	Centre de recherche sur les politiques en matiere d'invalidite professionnelle
Feinberg, Adam	Cochercheur principal	Carnegie Mellon University
Fernández de Larrinoa, Yon	Collaborateur	Food and Agricultural Organization of the United Nations (FAO)
Feodoroff, Pauliina	Collaborateur	Snowchange Collective (Region 22)
Fieguth, Paul	Cocandidat	University of Waterloo
Filmer-Wilson, Emilie	Collaborateur	United Nations Population Fund
Finger, Elizabeth	Cocandidat	Western University
First Rider, Amethyst	Collaborateur	Iinii Initiative
Fishback, Leanne	Collaborateur	Churchill Northern Studies Centre
Fleisig, Robert	Cocandidat	McMaster University
Fon, Edward	Cocandidat	Université McGill
Fontanilla, Ian Kendrich	Cocandidat	University of the Philippines, Diliman
Fouad, Karim	Cochercheur principal	University of Alberta
Fournier, Alyson	Cochercheur principal	Université McGill
Fox, Shari	Collaborateur	Carleton University (Region 2)
Franco, April	Cocandidat	University of Toronto
Fraser, Taylor	Collaborateur	Carleton University
Fung, Francis	Collaborateur	March of Dimes
Furgal, Christopher	Cocandidat	Trent University
Galagedara, Lakshman	Cocandidat	Memorial University of Newfoundland
Galea, Liisa	Cochercheur principal	The University of British Columbia
Gallant, Danick	Collaborateur	National Research Council
Gallant, Don	Collaborateur	Ready, Willing and Able
Galloway, Tracey	Cocandidat	University of Toronto
Gandiwa, Edson	Cocandidat	Chinhoyi University of Technology
Gavsie, Ronnie	Collaborateur	Réseau trillium pour le don de vie
Garton, Michael	Cochercheur principal	University of Toronto
Gepstein, Lior	Cocandidat	Technion- Israel Institute of Technology
Gewurtz, Rebecca	Cochercheur principal	McMaster University
Gibbings, Derrick	Cocandidat	Université d'Ottawa
Gilbert, Gregor	Collaborateur	Makivik Corporation (Region 8)
Giroux, Diane	Collaborateur	Akaitcho First Nations (Region 5)
Gislason, Maya	Collaborateur	Simon Fraser University
Giulione, Joseph	Collaborateur	L'Arrimage
Glanfield, Florence	Collaborateur	University of Alberta
Gleason, Jim	Collaborateur	Transplant Recipients International Organization
Goddard, Ellen	Cocandidat	University of Alberta
Godfray, Charles	Cochercheur principal	Oxford University
Gold, E. Richard	Cochercheur principal	Université McGill
Gómez, Amaranta	Collaborateur	Comité Internacional de Pueblos Indígenas frente al VIH/sida (Region 38)
Gómez, Amaranta	Collaborateur	National Council to Prevent and Eliminate Discrimination (CONAPRED) (Region 38)
Gomez, Rafael	Cocandidat	University of Toronto
